node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel
7,1,0.1203074317,651531.579829353,676413.004367076,653530.15740633,673774.37056033,0.1203074317,0,2020.22941934426,2020.34972677596,SARS2-CoV/Belgium/Human/rega-0508660
7,8,0.02999,651531.579829353,676413.004367076,650372.691572484,677835.625131556,0.02999,0,2020.22941934426,2020.25940934426,NA
8,9,0.05141,650372.691572484,677835.625131556,653680.310757654,681344.281802636,0.0814,0.02999,2020.25940934426,2020.31081934426,NA
9,10,0.01206,653680.310757654,681344.281802636,650498.401503327,685553.783106455,0.09346,0.0814,2020.31081934426,2020.32287934426,NA
10,11,0.00225,650498.401503327,685553.783106455,651418.941773619,685412.880099051,0.09571,0.09346,2020.32287934426,2020.32512934426,NA
11,5,7.26775955800507e-06,651418.941773619,685412.880099051,651439.214032031,685428.575721751,0.095717267759558,0.09571,2020.32512934426,2020.32513661202,SARS2-CoV/Belgium/Human/rega-0429624
11,6,7.26775955800507e-06,651418.941773619,685412.880099051,706076.227462608,667698.991107634,0.095717267759558,0.09571,2020.32512934426,2020.32513661202,SARS2-CoV/Belgium/Human/rega-0429628
8,2,0.06572726776,650372.691572484,677835.625131556,645917.735683306,677492.086755792,0.09571726776,0.02999,2020.25940934426,2020.32513661202,SARS2-CoV/Belgium/Human/rega-0429663
10,4,0.00225726776,650498.401503327,685553.783106455,644248.076387926,688646.179645982,0.09571726776,0.09346,2020.32287934426,2020.32513661202,SARS2-CoV/Belgium/Human/rega-0429662
9,3,0.01978174863,653680.310757654,681344.281802636,656500.905640591,680364.01228889,0.10118174863,0.0814,2020.31081934426,2020.33060109289,SARS2-CoV/Belgium/Human/rega-0501634
