X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
2,44,42,0.06147877138,648051.372038382,747699.005825653,648119.692039043,747797.47230533,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,73200000,hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,Liège,Liège,4633,4633
4,45,47,0.0018,648283.739082372,747854.305467202,643733.658929211,755914.59400913,0.08558,0.08378,2020.15844934426,2020.16024934426,73200000,NA,Liège,Liège,4633,4800
5,47,48,0.0018,643733.658929211,755914.59400913,643733.658929211,755914.59400913,0.08738,0.08558,2020.16024934426,2020.16204934426,73200000,NA,Liège,Liège,4800,4800
6,48,49,0.00167,643733.658929211,755914.59400913,646549.377115316,761890.245104812,0.08905,0.08738,2020.16204934426,2020.16371934426,73200000,NA,Liège,Liège,4800,4830
7,48,51,0.01998,643733.658929211,755914.59400913,643956.400353901,755745.885704689,0.10736,0.08738,2020.16204934426,2020.18202934426,73200000,NA,Liège,Liège,4800,4800
8,49,10,0.000215081967299996,646549.377115316,761890.245104812,643479.314212621,766647.380294589,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,73200000,hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe,Liège,Liège,4830,4837
9,49,50,0.01114,646549.377115316,761890.245104812,646496.700906729,761911.289779182,0.10019,0.08905,2020.16371934426,2020.17485934426,73200000,NA,Liège,Liège,4830,4830
10,50,12,0.00273628415299998,646496.700906729,761911.289779182,651938.548833382,760821.899221626,0.102926284153,0.10019,2020.17485934426,2020.17759562841,73200000,hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe,Liège,Liège,4830,4841
11,50,11,4.04371579998397e-06,646496.700906729,761911.289779182,646493.909925834,761897.869017124,0.1001940437158,0.10019,2020.17485934426,2020.17486338798,73200000,hCoV-19/Belgium/SJ-030583/2020|EPI_ISL_420339|2020-03-05|Europe,Liège,Liège,4830,4830
15,52,54,0.00184999999999999,644113.113671368,755495.246982508,644114.298468306,755519.892752649,0.12287,0.12102,2020.19568934426,2020.19753934426,73200000,NA,Liège,Liège,4800,4800
