X,node1,node2,length,startLat,startLon,endLat,endLon,endNodeL,startNodeL,startYear,endYear,treeID,tipLabel,startProvince,endProvince,startCommune,endCommune
1,4,1,0.04634911967,675156.878195943,673079.363317274,674911.000196141,674381.011370635,0.04634911967,0,2020.41813175465,2020.46448087432,296800000,SARS2-CoV/Belgium/Human/rega-0619917,VlaamsBrabant,VlaamsBrabant,3000,3000
2,4,5,0.0004375896105,675156.878195943,673079.363317274,675181.426249692,673050.479839296,0.0004375896105,0,2020.41813175465,2020.41856934426,296800000,NA,VlaamsBrabant,VlaamsBrabant,3000,3000
4,5,3,0.02132136612,675181.426249692,673050.479839296,675033.025780451,672976.815017649,0.0217589557305,0.0004375896105,2020.41856934426,2020.43989071038,296800000,hCoV-19/Belgium/rega-0710751/2020|EPI_ISL_522350|2020-06-10|Europe,VlaamsBrabant,VlaamsBrabant,3000,3000
5,43,6,0.152106612,647560.302689696,747645.575620841,694055.147066062,714199.272492906,0.152106612,0,2020.07466934426,2020.22677595626,296800000,hCoV-19/Belgium/BJ-0324192/2020|EPI_ISL_420412|2020-03-24|Europe,Liège,Limburg,4630,3582
6,43,44,0.06330543627,647560.302689696,747645.575620841,648100.582491984,748001.102294358,0.06330543627,0,2020.07466934426,2020.13797478053,296800000,NA,Liège,Liège,4630,4633
7,44,42,0.06147877138,648100.582491984,748001.102294358,648119.692039043,747797.47230533,0.12478420765,0.06330543627,2020.13797478053,2020.19945355191,296800000,hCoV-19/Belgium/ULG-6688/2020|EPI_ISL_418625|2020-03-14|Europe,Liège,Liège,4633,4633
9,45,47,0.0018,648162.386369942,748181.315703732,647287.575840795,753761.333672811,0.08558,0.08378,2020.15844934426,2020.16024934426,296800000,NA,Liège,Liège,4633,4650
10,45,46,0.02286312088,648162.386369942,748181.315703732,672484.82847739,578180.482048869,0.10664312088,0.08378,2020.15844934426,2020.18131246514,296800000,NA,Liège,West-Vlaanderen,4633,8540
11,46,7,0.05366021246,672484.82847739,578180.482048869,672629.935595357,578894.484997354,0.16030333334,0.10664312088,2020.18131246514,2020.2349726776,296800000,hCoV-19/Belgium/DAA-0327369/2020|EPI_ISL_462223|2020-03-27|Europe,West-Vlaanderen,West-Vlaanderen,8540,8540
12,46,8,0.05092797202,672484.82847739,578180.482048869,712590.516618621,554766.851693312,0.1575710929,0.10664312088,2020.18131246514,2020.23224043716,296800000,hCoV-19/Belgium/DGL-0326336/2020|EPI_ISL_462190|2020-03-26|Europe,West-Vlaanderen,West-Vlaanderen,8540,8460
13,47,9,0.0282752459,647287.575840795,753761.333672811,715436.660865896,679091.738131848,0.1138552459,0.08558,2020.16024934426,2020.18852459016,296800000,hCoV-19/Belgium/CS-031052/2020|EPI_ISL_418800|2020-03-10|Europe,Liège,Antwerpen,4650,2275
14,47,48,0.0018,647287.575840795,753761.333672811,647287.575840795,753761.333672811,0.08738,0.08558,2020.16024934426,2020.16204934426,296800000,NA,Liège,Liège,4650,4650
15,48,49,0.00167,647287.575840795,753761.333672811,646452.735870082,761721.11360959,0.08905,0.08738,2020.16204934426,2020.16371934426,296800000,NA,Liège,Liège,4650,4830
16,48,51,0.01998,647287.575840795,753761.333672811,646432.564333974,752953.441263791,0.10736,0.08738,2020.16204934426,2020.18202934426,296800000,NA,Liège,Liège,4650,4800
18,49,50,0.01114,646452.735870082,761721.11360959,646490.778864512,761900.620962464,0.10019,0.08905,2020.16371934426,2020.17485934426,296800000,NA,Liège,Liège,4830,4830
19,50,12,0.00273628415299998,646490.778864512,761900.620962464,651938.548833382,760821.899221626,0.102926284153,0.10019,2020.17485934426,2020.17759562841,296800000,hCoV-19/Belgium/MJP-0306100/2020|EPI_ISL_420356|2020-03-06|Europe,Liège,Liège,4830,4841
21,51,52,0.01366,646432.564333974,752953.441263791,646443.225305169,752884.315778191,0.12102,0.10736,2020.18202934426,2020.19568934426,296800000,NA,Liège,Liège,4800,4800
22,51,62,0.00184999999999999,646432.564333974,752953.441263791,646465.090174549,752861.670183675,0.10921,0.10736,2020.18202934426,2020.18387934426,296800000,NA,Liège,Liège,4800,4800
23,52,53,0.03044,646443.225305169,752884.315778191,646438.251163236,753006.735165208,0.15146,0.12102,2020.19568934426,2020.22612934426,296800000,NA,Liège,Liège,4800,4800
24,52,54,0.00184999999999999,646443.225305169,752884.315778191,646465.090174549,752861.670183675,0.12287,0.12102,2020.19568934426,2020.19753934426,296800000,NA,Liège,Liège,4800,4800
25,53,14,0.01704005464,646438.251163236,753006.735165208,642112.665728738,755868.819934431,0.16850005464,0.15146,2020.22612934426,2020.2431693989,296800000,hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe,Liège,Liège,4800,4802
26,53,13,0.01977229508,646438.251163236,753006.735165208,639980.801228331,731901.453843815,0.17123229508,0.15146,2020.22612934426,2020.24590163934,296800000,hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe,Liège,Liège,4800,4100
27,54,55,0.00190000000000001,646465.090174549,752861.670183675,659913.256966493,756537.016109885,0.12477,0.12287,2020.19753934426,2020.19943934426,296800000,NA,Liège,Limburg,4800,3793
29,55,16,1.42076501599975e-05,659913.256966493,756537.016109885,640989.801527706,774214.695192724,0.12478420765016,0.12477,2020.19943934426,2020.19945355191,296800000,hCoV-19/Belgium/ULG-6743/2020|EPI_ISL_418627|2020-03-14|Europe,Limburg,Liège,3793,4837
30,55,15,1.42076501599975e-05,659913.256966493,756537.016109885,659885.548568025,756524.742886876,0.12478420765016,0.12477,2020.19943934426,2020.19945355191,296800000,hCoV-19/Belgium/ULG-6842/2020|EPI_ISL_447121|2020-03-14|Europe,Limburg,Limburg,3793,3793
31,56,17,0.00191092896200001,646530.711052035,752872.672727557,616309.819162005,784318.780073457,0.132980928962,0.13107,2020.20573934426,2020.20765027322,296800000,hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe,Liège,Liège,4800,4770
32,56,57,0.02205,646530.711052035,752872.672727557,646447.556356352,752896.941956985,0.15312,0.13107,2020.20573934426,2020.22778934426,296800000,NA,Liège,Liège,4800,4800
34,57,58,0.00164592136399999,646447.556356352,752896.941956985,646285.791991342,752694.045643282,0.154765921364,0.15312,2020.22778934426,2020.22943526562,296800000,NA,Liège,Liège,4800,4800
35,58,59,0.0003540786357,646285.791991342,752694.045643282,646294.39376189,752699.862625284,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,296800000,NA,Liège,Liège,4800,4800
36,58,19,0.06837894202,646285.791991342,752694.045643282,646055.551655708,752851.900523507,0.223144863384,0.154765921364,2020.22943526562,2020.29781420764,296800000,hCoV-19/Belgium/ULG-10165/2020|EPI_ISL_447159|2020-04-19|Europe,Liège,Liège,4800,4800
37,59,20,0.03523797814,646294.39376189,752699.862625284,652017.218647944,739772.244642659,0.1903579781397,0.1551199999997,2020.22978934426,2020.2650273224,296800000,hCoV-19/Belgium/ULG-10132/2020|EPI_ISL_427377|2020-04-07|Europe,Liège,Liège,4800,4040
38,59,60,0.00462000000000001,646294.39376189,752699.862625284,646188.100161958,752549.276017098,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,296800000,NA,Liège,Liège,4800,4800
39,60,21,0.03061797814,646188.100161958,752549.276017098,650522.756497308,732809.047279166,0.1903579781397,0.1597399999997,2020.23440934426,2020.2650273224,296800000,hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe,Liège,Liège,4800,4430
40,60,61,0.06302,646188.100161958,752549.276017098,643957.38613516,754911.744753248,0.2227599999997,0.1597399999997,2020.23440934426,2020.29742934426,296800000,NA,Liège,Liège,4800,4800
41,61,23,0.0003848633878,643957.38613516,754911.744753248,643959.049850983,754891.481382912,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,296800000,hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe,Liège,Liège,4800,4800
42,61,22,0.06049415301,643957.38613516,754911.744753248,638372.420047356,748648.305347315,0.2832541530097,0.2227599999997,2020.29742934426,2020.35792349727,296800000,hCoV-19/Belgium/ULG-10187/2020|EPI_ISL_455975|2020-05-11|Europe,Liège,Liège,4800,4860
44,62,63,0.00190000000000001,646465.090174549,752861.670183675,659913.256966493,756537.016109885,0.11111,0.10921,2020.18387934426,2020.18577934426,296800000,NA,Liège,Limburg,4800,3793
45,63,25,1.30054645299804e-05,659913.256966493,756537.016109885,650115.576184631,742815.380144809,0.11112300546453,0.11111,2020.18577934426,2020.18579234972,296800000,hCoV-19/Belgium/AC-030982/2020|EPI_ISL_420338|2020-03-09|Europe,Limburg,Liège,3793,4671
47,64,66,0.02723322191,646554.477965128,753124.139464687,648719.159037164,753948.918802823,0.14878322191,0.12155,2020.19621934426,2020.22345256617,296800000,NA,Liège,Liège,4800,4651
48,64,65,0.03193,646554.477965128,753124.139464687,679360.839233465,717557.03326856,0.15348,0.12155,2020.19621934426,2020.22814934426,296800000,NA,Liège,Limburg,4800,3500
49,65,26,0.006823333333,679360.839233465,717557.03326856,701942.278270839,709763.466793451,0.160303333333,0.15348,2020.22814934426,2020.23497267759,296800000,hCoV-19/Belgium/HLE-0327390/2020|EPI_ISL_462244|2020-03-27|Europe,Limburg,Limburg,3500,3971
51,66,67,0.01886677809,648719.159037164,753948.918802823,660320.191646962,767387.385938109,0.16765,0.14878322191,2020.22345256617,2020.24231934426,296800000,NA,Liège,NA,4651,4721
53,67,68,0.01,660320.191646962,767387.385938109,660308.820847929,767346.204452341,0.17765,0.16765,2020.24231934426,2020.25231934426,296800000,NA,NA,NA,4721,4721
54,67,28,0.06642382514,660320.191646962,767387.385938109,646296.926581069,770458.710420444,0.23407382514,0.16765,2020.24231934426,2020.3087431694,296800000,hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe,NA,Liège,4721,4700
56,68,69,0.00223999999999999,660308.820847929,767346.204452341,657039.157562447,765503.017107613,0.17989,0.17765,2020.25231934426,2020.25455934426,296800000,NA,NA,Liège,4721,4720
