"","node1","node2","length","startLat","startLon","endLat","endLon","endNodeL","startNodeL","startYear","endYear","treeID","tipLabel"
"1",4,1,0.04634911967,50.8807837255835,4.70461833818142,50.8840156966104,4.71523877160034,0.04634911967,0,2020.41813175465,2020.46448087432,318800000,"SARS2-CoV/Belgium/Human/rega-0619917"
"2",4,5,0.0004375896105,50.8807837255835,4.70461833818142,50.8824610713202,4.70979730885927,0.0004375896105,0,2020.41813175465,2020.41856934426,318800000,NA
"3",5,2,0.03771480874,50.8824610713202,4.70979730885927,50.9987691973326,4.79973591211472,0.0381523983505,0.0004375896105,2020.41856934426,2020.456284153,318800000,"SARS2-CoV/Belgium/Human/rega-0616914"
"4",5,3,0.02132136612,50.8824610713202,4.70979730885927,50.8851714614264,4.69529216955307,0.0217589557305,0.0004375896105,2020.41856934426,2020.43989071038,318800000,"hCoV-19/Belgium/rega-0710751/2020|EPI_ISL_522350|2020-06-10|Europe"
"5",43,6,0.152106612,50.6395581869096,5.70858087022673,51.053014055372,5.28443681241244,0.152106612,0,2020.07466934426,2020.22677595626,318800000,"hCoV-19/Belgium/BJ-0324192/2020|EPI_ISL_420412|2020-03-24|Europe"
"6",43,44,0.06330543627,50.6395581869096,5.70858087022673,50.6334935115858,5.73027531037755,0.06330543627,0,2020.07466934426,2020.13797478053,318800000,NA
"9",45,47,0.0018,50.6332246045438,5.73641018451288,50.6342702561108,5.74202578077338,0.08558,0.08378,2020.15844934426,2020.16024934426,318800000,NA
"11",46,7,0.05366021246,50.8582299742365,3.36988072471603,50.8597844433816,3.3587900023754,0.16030333334,0.10664312088,2020.18131246514,2020.2349726776,318800000,"hCoV-19/Belgium/DAA-0327369/2020|EPI_ISL_462223|2020-03-27|Europe"
"12",46,8,0.05092797202,50.8582299742365,3.36988072471603,51.2155101743764,3.0058062973095,0.1575710929,0.10664312088,2020.18131246514,2020.23224043716,318800000,"hCoV-19/Belgium/DGL-0326336/2020|EPI_ISL_462190|2020-03-26|Europe"
"13",47,9,0.0282752459,50.6342702561108,5.74202578077338,51.2480709983976,4.78548669788006,0.1138552459,0.08558,2020.16024934426,2020.18852459016,318800000,"hCoV-19/Belgium/CS-031052/2020|EPI_ISL_418800|2020-03-10|Europe"
"16",48,51,0.01998,50.6342702561108,5.74202578077338,50.6317319940135,5.74593808239538,0.10736,0.08738,2020.16204934426,2020.18202934426,318800000,NA
"17",49,10,0.000215081967299996,50.5901369034517,6.01575930948937,50.5902216955547,6.0161845091987,0.0892650819673,0.08905,2020.16371934426,2020.16393442623,318800000,"hCoV-19/Belgium/CG-030158/2020|EPI_ISL_418987|2020-03-01|Europe"
"18",49,50,0.01114,50.5901369034517,6.01575930948937,50.618225260409,5.94989943056648,0.10019,0.08905,2020.16371934426,2020.17485934426,318800000,NA
"20",50,11,4.04371579998397e-06,50.618225260409,5.94989943056648,50.6182505109198,5.95003744953079,0.1001940437158,0.10019,2020.17485934426,2020.17486338798,318800000,"hCoV-19/Belgium/SJ-030583/2020|EPI_ISL_420339|2020-03-05|Europe"
"21",51,52,0.01366,50.6317319940135,5.74593808239538,50.6142099622728,5.81225073643408,0.12102,0.10736,2020.18202934426,2020.19568934426,318800000,NA
"22",51,62,0.00184999999999999,50.6317319940135,5.74593808239538,50.6141718439025,5.81215880301207,0.10921,0.10736,2020.18202934426,2020.18387934426,318800000,NA
"23",52,53,0.03044,50.6142099622728,5.81225073643408,50.5892297065167,5.85907797126698,0.15146,0.12102,2020.19568934426,2020.22612934426,318800000,NA
"24",52,54,0.00184999999999999,50.6142099622728,5.81225073643408,50.6141718439025,5.81215880301207,0.12287,0.12102,2020.19568934426,2020.19753934426,318800000,NA
"25",53,14,0.01704005464,50.5892297065167,5.85907797126698,50.5800007869811,5.86360549680758,0.16850005464,0.15146,2020.22612934426,2020.2431693989,318800000,"hCoV-19/Belgium/ULG-10028/2020|EPI_ISL_421202|2020-03-30|Europe"
"26",53,13,0.01977229508,50.5892297065167,5.85907797126698,50.5647117655029,5.5247699897677,0.17123229508,0.15146,2020.22612934426,2020.24590163934,318800000,"hCoV-19/Belgium/ULG-10032/2020|EPI_ISL_421206|2020-03-31|Europe"
"28",54,56,0.00820000000000001,50.6141718439025,5.81215880301207,50.614048603564,5.81324793042131,0.13107,0.12287,2020.19753934426,2020.20573934426,318800000,NA
"29",55,16,1.42076501599975e-05,50.7399687297333,5.87824452542039,50.5662799375349,6.12218838588353,0.12478420765016,0.12477,2020.19943934426,2020.19945355191,318800000,"hCoV-19/Belgium/ULG-6743/2020|EPI_ISL_418627|2020-03-14|Europe"
"31",56,17,0.00191092896200001,50.614048603564,5.81324793042131,50.3422272429212,6.25586614053313,0.132980928962,0.13107,2020.20573934426,2020.20765027322,318800000,"hCoV-19/Belgium/ULG-7626/2020|EPI_ISL_418633|2020-03-17|Europe"
"32",56,57,0.02205,50.614048603564,5.81324793042131,50.6131834569174,5.8147715072955,0.15312,0.13107,2020.20573934426,2020.22778934426,318800000,NA
"33",57,18,0.03177349727,50.6131834569174,5.8147715072955,50.4706182945347,5.82939710560777,0.18489349727,0.15312,2020.22778934426,2020.25956284153,318800000,"hCoV-19/Belgium/ULG-10052/2020|EPI_ISL_424657|2020-04-05|Europe"
"34",57,58,0.00164592136399999,50.6131834569174,5.8147715072955,50.6094935390877,5.81256659047167,0.154765921364,0.15312,2020.22778934426,2020.22943526562,318800000,NA
"35",58,59,0.0003540786357,50.6094935390877,5.81256659047167,50.6094138484268,5.8125262808572,0.1551199999997,0.154765921364,2020.22943526562,2020.22978934426,318800000,NA
"36",58,19,0.06837894202,50.6094935390877,5.81256659047167,50.6159826362162,5.82211358239193,0.223144863384,0.154765921364,2020.22943526562,2020.29781420764,318800000,"hCoV-19/Belgium/ULG-10165/2020|EPI_ISL_447159|2020-04-19|Europe"
"38",59,60,0.00462000000000001,50.6094138484268,5.8125262808572,50.6103328189407,5.81089077223354,0.1597399999997,0.1551199999997,2020.22978934426,2020.23440934426,318800000,NA
"39",60,21,0.03061797814,50.6103328189407,5.81089077223354,50.6593441938255,5.53994488564647,0.1903579781397,0.1597399999997,2020.23440934426,2020.2650273224,318800000,"hCoV-19/Belgium/ULG-10120/2020|EPI_ISL_427368|2020-04-07|Europe"
"41",61,23,0.0003848633878,50.5966605903149,5.85144905797794,50.5967738787782,5.85033239243096,0.2231448633875,0.2227599999997,2020.29742934426,2020.29781420765,318800000,"hCoV-19/Belgium/ULG-10166/2020|EPI_ISL_447160|2020-04-19|Europe"
"43",62,64,0.01234,50.6141718439025,5.81215880301207,50.6630032603345,5.6956303353607,0.12155,0.10921,2020.18387934426,2020.19621934426,318800000,NA
"44",62,63,0.00190000000000001,50.6141718439025,5.81215880301207,50.7399687297333,5.87824452542039,0.11111,0.10921,2020.18387934426,2020.18577934426,318800000,NA
"45",63,25,1.30054645299804e-05,50.7399687297333,5.87824452542039,50.6541681074887,5.68134038730499,0.11112300546453,0.11111,2020.18577934426,2020.18579234972,318800000,"hCoV-19/Belgium/AC-030982/2020|EPI_ISL_420338|2020-03-09|Europe"
"46",63,24,0.00820972677600001,50.7399687297333,5.87824452542039,50.7239970681704,6.00617789932784,0.119319726776,0.11111,2020.18577934426,2020.19398907104,318800000,"hCoV-19/Belgium/ULG-10214/2020|EPI_ISL_484702|2020-03-12|Europe"
"47",64,66,0.02723322191,50.6630032603345,5.6956303353607,50.6138899817241,6.06439870991949,0.14878322191,0.12155,2020.19621934426,2020.22345256617,318800000,NA
"48",64,65,0.03193,50.6630032603345,5.6956303353607,50.9189841662335,5.32225764694716,0.15348,0.12155,2020.19621934426,2020.22814934426,318800000,NA
"49",65,26,0.006823333333,50.9189841662335,5.32225764694716,51.1243857473528,5.22248518648689,0.160303333333,0.15348,2020.22814934426,2020.23497267759,318800000,"hCoV-19/Belgium/HLE-0327390/2020|EPI_ISL_462244|2020-03-27|Europe"
"50",65,27,0.01502005464,50.9189841662335,5.32225764694716,50.9202282649267,5.33030956221611,0.16850005464,0.15348,2020.22814934426,2020.2431693989,318800000,"hCoV-19/Belgium/Rega-0330255/2020|EPI_ISL_458225|2020-03-30|Europe"
"53",67,68,0.01,50.6150922495229,6.0698828555961,50.7215219920367,6.01492771112631,0.17765,0.16765,2020.24231934426,2020.25231934426,318800000,NA
"54",67,28,0.06642382514,50.6150922495229,6.0698828555961,50.6147686442393,6.07091255499721,0.23407382514,0.16765,2020.24231934426,2020.3087431694,318800000,"hCoV-19/Belgium/rega-0423298/2020|EPI_ISL_462152|2020-04-23|Europe"
"56",68,69,0.00223999999999999,50.7215219920367,6.01492771112631,50.7208789514727,6.01769372890908,0.17989,0.17765,2020.25231934426,2020.25455934426,318800000,NA
"58",69,70,0.00225,50.7208789514727,6.01769372890908,50.7118988612348,6.00292694057735,0.18214,0.17989,2020.25455934426,2020.25680934426,318800000,NA
